side,signal_bar_date,entry_date,exit_date,entry_price,initial_stop,final_stop,tp1_price,tp2_price,tp3_price,shares_total,tp_hits,exit_reason,gross_pnl,total_fees,net_pnl,holding_days
long,2020-11-04,2020-11-05,2020-11-10,117.95,113.9971,117.95,121.9029,127.8321,129.8086,25,1,stop,35.5757,2.9665,32.6092,5
short,2022-02-11,2022-02-14,2022-02-15,167.37,172.0571,172.0571,162.6829,155.6521,153.3086,21,0,stop,-98.43,3.564,-101.994,1
long,2022-09-12,2022-09-13,2022-09-13,159.9,155.9264,155.9264,163.8736,169.8339,171.8207,33,0,stop,-131.1279,5.2111,-136.339,0
short,2022-10-27,2022-10-28,2022-10-28,148.2,152.7414,152.7414,143.6586,136.8464,134.5757,29,0,stop,-131.7014,4.3637,-136.0651,0
short,2022-11-02,2022-11-03,2022-11-10,142.06,147.4686,142.06,136.6514,128.5386,125.8343,32,1,stop,59.4943,4.5162,54.9781,7
long,2022-11-10,2022-11-11,2022-11-28,145.82,139.6922,145.82,151.9479,161.1396,164.2036,36,1,stop,73.5343,5.2863,68.248,17
long,2024-11-07,2024-11-08,2024-11-11,227.17,223.1479,223.1479,231.1921,237.2254,239.2364,55,0,stop,-221.2178,12.3837,-233.6016,3
short,2025-05-05,2025-05-06,2025-05-12,198.21,204.6471,204.6471,191.7729,182.1172,178.8986,34,0,stop,-218.8628,6.8486,-225.7114,6
long,2025-05-27,2025-05-28,2025-06-05,200.59,195.245,200.59,205.935,213.9525,216.625,53,1,stop,96.21,10.6794,85.5306,8
long,2025-08-06,2025-08-07,2025-08-13,218.88,214.3657,223.3943,223.3943,230.1657,232.4229,63,3,tp_complete,616.2001,14.0975,602.1026,6
