side,signal_bar_date,entry_date,exit_date,entry_price,initial_stop,final_stop,tp1_price,tp2_price,tp3_price,shares_total,tp_hits,exit_reason,gross_pnl,total_fees,net_pnl,holding_days
long,2020-09-09,2020-09-10,2020-09-10,280.94,273.3586,273.3586,288.5214,299.8936,303.6843,13,0,stop,-98.5586,3.6029,-102.1615,0
long,2020-09-15,2020-09-16,2020-09-17,279.88,271.2143,271.2143,288.5457,301.5443,305.8771,11,0,stop,-95.3229,3.031,-98.3539,1
long,2020-11-04,2020-11-05,2020-11-10,293.53,286.515,286.515,300.545,311.0675,314.575,13,0,stop,-91.1949,3.7703,-94.9652,5
long,2021-03-01,2021-03-02,2021-03-03,324.25,317.51,317.51,330.99,341.1,344.47,14,0,stop,-94.36,4.4923,-98.8523,1
long,2021-05-14,2021-05-17,2021-05-19,324.63,318.7229,318.7229,330.5371,339.3979,342.3514,16,0,stop,-94.5143,5.1468,-99.6611,2
long,2021-05-20,2021-05-21,2021-06-24,330.43,323.8971,336.9628,336.9628,346.7621,350.0286,14,3,tp_complete,192.7193,4.7224,187.9969,34
long,2022-11-10,2022-11-11,2022-11-17,282.56,274.4957,282.56,290.6243,302.7207,306.7529,12,1,stop,32.2572,3.4068,28.8503,6
short,2023-10-18,2023-10-19,2023-10-26,364.81,370.9564,358.6636,358.6636,349.4439,346.3707,15,3,tp_complete,199.7589,5.3723,194.3866,7
long,2024-09-11,2024-09-12,2024-10-01,468.65,459.1643,478.1357,478.1357,492.3643,497.1071,16,2,stop,222.9142,7.6099,215.3043,19
long,2025-01-03,2025-01-06,2025-01-07,524.02,514.4407,514.4407,533.5993,547.9682,552.7579,16,0,stop,-153.2685,8.3077,-161.5762,1
