fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,sweep_lookback,require_sweep,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,avg_mc_prob_profit_%,avg_mc_p05_return_%,avg_mc_median_max_dd_%,valid_ticker_count,score
21,42,14,1.0,1.0,2.5,3.0,100,0.015,20,False,162.18,784.2650000000001,-26.7375,12.25,53.572500000000005,152.64249999999998,-126.63000000000001,1.23,1.51,21.964999999999996,64.5125,-6.6875,-3.6,4,104.602
21,42,14,1.0,1.0,2.5,3.0,100,0.015,10,False,162.18,784.2650000000001,-26.7375,12.25,53.572500000000005,152.64249999999998,-126.63000000000001,1.23,1.51,21.964999999999996,64.5125,-6.6875,-3.6,4,104.602
21,42,14,1.0,1.0,2.5,3.0,100,0.015,5,False,162.18,784.2650000000001,-26.7375,12.25,53.572500000000005,152.64249999999998,-126.63000000000001,1.23,1.51,21.964999999999996,64.5125,-6.6875,-3.6,4,104.602
21,42,14,0.8,1.0,2.5,3.0,100,0.015,20,False,253.0625,784.2650000000001,-31.4125,12.5,52.635000000000005,209.71,-139.565,1.5350000000000001,1.8175000000000001,43.6575,71.28750000000001,-7.2575,-3.96,4,89.94475000000003
21,42,14,0.8,1.0,2.5,3.0,100,0.015,5,False,253.0625,784.2650000000001,-31.4125,12.5,52.635000000000005,209.71,-139.565,1.5350000000000001,1.8175000000000001,43.6575,71.28750000000001,-7.2575,-3.96,4,89.94475000000003
21,42,14,0.8,1.0,2.5,3.0,100,0.015,10,False,253.0625,784.2650000000001,-31.4125,12.5,52.635000000000005,209.71,-139.565,1.5350000000000001,1.8175000000000001,43.6575,71.28750000000001,-7.2575,-3.96,4,89.94475000000003
21,42,14,0.8,1.0,2.0,3.0,100,0.015,5,False,251.7475,784.2650000000001,-34.235,12.5,52.635000000000005,191.7325,-139.48,1.3925,1.6749999999999998,35.035,66.96249999999999,-7.4625,-3.9925,4,85.23375000000001
21,42,14,0.8,1.0,2.0,3.0,100,0.015,10,False,251.7475,784.2650000000001,-34.235,12.5,52.635000000000005,191.7325,-139.48,1.3925,1.6749999999999998,35.035,66.96249999999999,-7.4625,-3.9925,4,85.23375000000001
21,42,14,0.8,1.0,2.0,3.0,100,0.015,20,False,251.7475,784.2650000000001,-34.235,12.5,52.635000000000005,191.7325,-139.48,1.3925,1.6749999999999998,35.035,66.96249999999999,-7.4625,-3.9925,4,85.23375000000001
14,84,14,1.0,1.0,2.5,3.0,100,0.015,20,False,107.965,740.07,-27.055,11.0,49.9225,190.74499999999998,-124.7475,1.5,1.385,27.872499999999995,58.3625,-6.727500000000001,-3.6899999999999995,3,82.67825
14,84,14,1.0,1.0,2.5,3.0,100,0.015,5,False,107.965,740.07,-27.055,11.0,49.9225,190.74499999999998,-124.7475,1.5,1.385,27.872499999999995,58.3625,-6.727500000000001,-3.6899999999999995,3,82.67825
14,84,14,1.0,1.0,2.5,3.0,100,0.015,10,False,107.965,740.07,-27.055,11.0,49.9225,190.74499999999998,-124.7475,1.5,1.385,27.872499999999995,58.3625,-6.727500000000001,-3.6899999999999995,3,82.67825
14,42,14,0.8,1.0,2.5,3.0,100,0.015,10,False,189.7475,784.2650000000001,-34.1575,11.25,57.63,189.8375,-139.23749999999998,1.4,2.035,49.9775,73.01249999999999,-5.8575,-3.3475,4,82.65249999999997
14,42,14,0.8,1.0,2.5,3.0,100,0.015,5,False,189.7475,784.2650000000001,-34.1575,11.25,57.63,189.8375,-139.23749999999998,1.4,2.035,49.9775,73.01249999999999,-5.8575,-3.3475,4,82.65249999999997
14,42,14,0.8,1.0,2.5,3.0,100,0.015,20,False,189.7475,784.2650000000001,-34.1575,11.25,57.63,189.8375,-139.23749999999998,1.4,2.035,49.9775,73.01249999999999,-5.8575,-3.3475,4,82.65249999999997
21,42,14,1.0,1.5,2.5,3.0,100,0.015,5,False,128.67249999999999,784.2650000000001,-26.919999999999998,11.5,40.525000000000006,253.725,-128.1625,1.8725,1.3175000000000001,-0.3825000000000012,56.974999999999994,-8.0925,-5.21,3,80.4995
21,42,14,1.0,1.5,2.5,3.0,100,0.015,10,False,128.67249999999999,784.2650000000001,-26.919999999999998,11.5,40.525000000000006,253.725,-128.1625,1.8725,1.3175000000000001,-0.3825000000000012,56.974999999999994,-8.0925,-5.21,3,80.4995
21,42,14,1.0,1.5,2.5,3.0,100,0.015,20,False,128.67249999999999,784.2650000000001,-26.919999999999998,11.5,40.525000000000006,253.725,-128.1625,1.8725,1.3175000000000001,-0.3825000000000012,56.974999999999994,-8.0925,-5.21,3,80.4995
14,42,14,1.0,1.5,2.5,3.0,100,0.015,10,False,124.76499999999999,784.2650000000001,-29.947500000000005,10.75,42.6375,208.205,-131.9025,1.5825,1.295,8.495000000000001,56.237500000000004,-7.867500000000001,-4.5675,3,80.03075
14,42,14,1.0,1.5,2.5,3.0,100,0.015,5,False,124.76499999999999,784.2650000000001,-29.947500000000005,10.75,42.6375,208.205,-131.9025,1.5825,1.295,8.495000000000001,56.237500000000004,-7.867500000000001,-4.5675,3,80.03075
14,42,14,1.0,1.5,2.5,3.0,100,0.015,20,False,124.76499999999999,784.2650000000001,-29.947500000000005,10.75,42.6375,208.205,-131.9025,1.5825,1.295,8.495000000000001,56.237500000000004,-7.867500000000001,-4.5675,3,80.03075
14,84,14,1.0,1.0,2.0,3.0,100,0.015,5,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,84,14,1.0,1.0,2.0,3.0,100,0.015,10,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,84,14,1.0,1.0,2.0,3.0,100,0.015,20,False,107.23,740.07,-28.9525,11.0,49.9225,179.40749999999997,-124.94250000000001,1.4075000000000002,1.3024999999999998,22.424999999999997,55.962500000000006,-6.842499999999999,-3.665,3,79.87299999999998
14,42,14,0.8,1.0,2.0,3.0,100,0.015,20,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,42,14,0.8,1.0,2.0,3.0,100,0.015,5,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,42,14,0.8,1.0,2.0,3.0,100,0.015,10,False,188.7925,784.2650000000001,-34.2975,11.25,57.63,177.64,-138.7825,1.3175,1.915,43.290000000000006,71.175,-5.952500000000001,-3.3449999999999998,4,79.41175
14,84,14,1.0,1.0,2.5,3.0,150,0.015,10,False,94.4525,740.07,-28.625,10.5,47.665000000000006,187.1125,-121.7075,1.4949999999999999,1.3,22.007499999999997,52.4625,-6.945,-3.7625,3,76.47475
